I,J,M_lda_ij,SD_lda_ij,M_omega_ij,SD_omega_ij
2,54,-0.07306152,0.05112923,2.64118782,0.52042917
2,55,0.03756376,0.07969506,-3.79988042,0.8098624
3,1,0.34450524,0.17324014,-2.07757942,0.39057863
3,2,0.10464493,0.1219644,-2.60224848,0.4459676
3,3,4.50069709,0.87420863,2.07226545,0.150793
3,4,0.14016515,0.13380603,2.54819775,0.13384735
3,5,-0.53555904,0.10485784,0.42355568,0.04889478
3,6,0.36259055,0.21551284,2.19840536,0.12976707
3,7,-0.92375109,0.19494161,0.25193793,0.07691493
3,8,-0.89369342,0.15061794,2.89847631,0.2037717
3,9,0.13525176,0.06697636,2.6773794,0.16134062
3,10,-0.02005672,0.15710256,2.43815733,0.17903185
3,11,-0.21228963,0.25989055,-0.37014734,0.08549506
3,12,0.21914715,0.0639413,-2.51961386,0.39682282
3,13,-0.06281741,0.09258909,-3.83156298,0.65510438
3,14,0.17940035,0.0568788,-3.82415466,0.65875635
3,15,-0.02235411,0.05473788,-3.395642,0.56966917
3,16,-0.08608398,0.07789277,-3.32196241,0.56779754
3,17,-0.13267754,0.06627457,-1.98621057,0.38036105
3,18,0.00186917,0.05753706,-2.5474318,0.43584543
3,19,-0.04070288,0.0305745,-2.52375154,0.42936575
3,20,-0.01422171,0.03184027,-2.00106927,0.48096077
3,21,-0.64274137,0.09145898,2.78521934,0.13200498
3,22,-0.24999108,0.09558393,1.83655126,0.07151036
3,23,-0.00903947,0.02922505,1.70880431,0.10703436
3,24,-0.7396538,0.10214876,3.26498428,0.14250887
3,25,-0.41813648,0.12428572,2.5471915,0.15695985
3,26,0.14436532,0.06397359,2.34097114,0.13233671
3,27,-0.45471056,0.19015495,1.20832344,0.14000156
3,28,-0.27953835,0.16938204,0.99925966,0.2005243
3,29,0.38462198,0.18622067,2.13237463,0.09164963
3,30,0.32156548,0.10365507,1.63316418,0.15664399
3,31,-0.03878924,0.18043614,1.08217929,0.17659803
3,32,0.02877664,0.04514438,2.76364305,0.17440278
3,33,-0.0960637,0.14655208,2.68951953,0.14226848
3,34,0.274226,0.04404347,2.9247809,0.22725664
3,35,0.09534112,0.08150895,2.89525561,0.24869702
3,36,-0.29194602,0.06274841,2.56295958,0.17263318
3,37,-0.24636241,0.07367567,2.76943439,0.16419126
3,38,-0.82138802,0.37171214,1.82518995,0.21484731
3,39,0.63471002,0.37153937,-0.21789539,0.08386485
3,40,-1.48246411,0.60238117,0.46207413,0.03913311
3,41,-0.1534337,0.09668714,3.18098891,0.23657078
3,42,0.32385537,0.07914852,3.70252482,0.39438824
3,43,0.02216095,0.0563093,3.28395423,0.28879299
3,44,0.14359409,0.16112997,2.05360556,0.27724929
3,45,-0.03261611,0.08474384,2.33681295,0.20693852
3,46,-0.34231088,0.12308109,2.15334548,0.14003866
