MAT,MAP,CMD
0.0756713963782541,0.4009836220123617,0.7345318570563729
0.9999746272241659,0.9999999999999998,6.940512421025836e-5
2.587015410983713e-4,9.124834722152286e-9,0.9999245289918773
0.002744263655560247,0.04998540206190142,0.9792571087977137
0.7950166350420578,0.9999836992545765,0.021066427594240936
0.13288260544435762,0.9998895343328164,3.5379607272292054e-4
0.9999999646985234,0.9999999999999983,0.0013719118074495497
0.030502613172964568,0.986126685248761,1.5772695746209845e-9
0.9978737415215644,1.1744337721315003e-4,0.9994207735002156
0.8654836875582921,0.27336399639190945,0.5310253345221578
0.0022158562070652217,2.8460268555692276e-10,0.9999779816974618
0.005321049996906024,1.3517379377060248e-17,0.9290247022265506
