cumul_MAT,cumul_MAT,cumul_CMD
50.288491964214664,94.85003074857131,49.9485061159754
42.49973585019548,58.09213189854256,8.196374140631765
50.288491964214664,94.85003074857131,49.9485061159754
59.18500606367598,111.18672041511935,54.31818197076311
50.288491964214664,36.75789885002875,41.75213197534363
15.414994895629428,94.85003074857131,49.9485061159754
0,36.75789885002875,0
0,89.3940927309633,24.55705588603953
0,72.33143501670595,49.9485061159754
0,94.85003074857131,49.9485061159754
50.288491964214664,119.4922179379594,69.05295611233038
0,22.51859573186536,24.55705588603953
