ID,Site,Old_Site,Paper_ID,Year,Population,Collection,ID,Extraction Plate,Position,Nanodrop ng/uL ,260/280,260/230,Qubit (ng/uL),Quality Sample Plate,Position,Volume,Volume for 150 ng,Volume Dispensed,Submission Plate,Position,Volume,Qubit (ng/uL),Notes
417,Carberry Creek,Carberry Creek,48,2009,,Baseline,417,01-May,H3,323.3,1.9,2.3,30.2,Quality Mimulus Plate 5 Angert 2020 DM,H3,30,5,30,Angert Mimulus – 5,H3,30,30.2,
418,Carberry Creek,Carberry Creek,48,2009,,Baseline,418,01-May,A4,156.5,1.9,2.3,57,Quality Mimulus Plate 5 Angert 2020 DM,A4,30,3,25,Angert Mimulus – 5,A4,25,57,
419,Carberry Creek,Carberry Creek,48,2009,,Baseline,419,01-May,B4,61.1,1.9,2.2,6.1,Quality Mimulus Plate 5 Angert 2020 DM,B4,30,25,25,Angert Mimulus – 5,B4,25,6.05,
420,Carberry Creek,Carberry Creek,48,2009,,Baseline,420,01-May,C4,88.3,1.9,2.3,6.1,Quality Mimulus Plate 5 Angert 2020 DM,C4,30,25,25,Angert Mimulus – 5,C4,25,6.1,
421,Carberry Creek,Carberry Creek,48,2009,,Baseline,421,01-May,D4,87.5,2,2.2,6.9,Quality Mimulus Plate 5 Angert 2020 DM,D4,30,22,25,Angert Mimulus – 5,D4,25,6.9,
422,Carberry Creek,Carberry Creek,48,2009,,Baseline,422,01-May,E4,36.8,2,2.4,46.3,Quality Mimulus Plate 5 Angert 2020 DM,E4,30,4,25,Angert Mimulus – 5,E4,25,46.3,
423,Carberry Creek,Carberry Creek,48,2009,,Baseline,423,R-2,C8,47.4,2,1.9,4.5,Quality Mimulus Plate 5 Angert 2020 DM,F4,45,34,35,Angert Mimulus – 5,F4,35,4.54,
426,Carlon,Carlon,28,2010,,Baseline,426,01-May,H5,128.3,2,2.3,4.1,Quality Mimulus Plate 5 Angert 2020 DM,H5,30,37,25,Angert Mimulus – 5,H5,25,4.13,
428,Chariot Canyon,Chariot Canyon,16,2010,,Baseline,428,01-May,G4,170.5,1.9,2.2,10.3,Quality Mimulus Plate 5 Angert 2020 DM,G4,30,15,25,Angert Mimulus – 5,G4,25,10.3,
429,Chariot Canyon,Chariot Canyon,16,2010,,Baseline,429,01-May,H4,27.5,2.3,2.4,4.1,Quality Mimulus Plate 5 Angert 2020 DM,H4,30,37,28,Angert Mimulus – 5,H4,28,4.1,
430,Chariot Canyon,Chariot Canyon,16,2010,,Baseline,430,01-May,A5,56.8,1.9,2.2,11.5,Quality Mimulus Plate 5 Angert 2020 DM,A5,30,14,25,Angert Mimulus – 5,A5,25,11.5,
431,Chariot Canyon,Chariot Canyon,16,2010,,Baseline,431,01-May,B5,46,2,2.3,6.2,Quality Mimulus Plate 5 Angert 2020 DM,B5,30,25,25,Angert Mimulus – 5,B5,25,6.2,
432,Chariot Canyon,Chariot Canyon,16,2010,,Baseline,432,01-May,C5,75.8,2,2.2,9.8,Quality Mimulus Plate 5 Angert 2020 DM,C5,30,16,25,Angert Mimulus – 5,C5,25,9.82,
433,Chariot Canyon,Chariot Canyon,16,2010,,Baseline,433,01-May,D5,56.1,2,2.4,13.9,Quality Mimulus Plate 5 Angert 2020 DM,D5,30,11,25,Angert Mimulus – 5,D5,25,13.9,
434,Chariot Canyon,Chariot Canyon,16,2010,,Baseline,434,R-2,D8,269.8,1.9,2.2,10.9,Quality Mimulus Plate 5 Angert 2020 DM,E5,45,14,25,Angert Mimulus – 5,E5,25,10.9,
436,Cherokee Creek,Cherokee Creek,39,2010,,Baseline,436,01-May,F5,767.8,1.9,2.3,69.5,Quality Mimulus Plate 5 Angert 2020 DM,F5,30,3,25,Angert Mimulus – 5,F5,25,69.5,
438,Cherokee Creek,Cherokee Creek,39,2010,,Baseline,438,01-May,G5,74.3,2,2.3,8.7,Quality Mimulus Plate 5 Angert 2020 DM,G5,30,18,25,Angert Mimulus – 5,G5,25,8.7,
439,Cherokee Creek,Cherokee Creek,39,2010,,Baseline,439,01-May,A6,135.9,1.9,2.1,49.7,Quality Mimulus Plate 5 Angert 2020 DM,A6,30,4,25,Angert Mimulus – 5,A6,25,49.7,
440,Cherokee Creek,Cherokee Creek,39,2010,,Baseline,440,01-May,B6,74.2,2,2.1,42.1,Quality Mimulus Plate 5 Angert 2020 DM,B6,30,4,25,Angert Mimulus – 5,B6,25,42.1,
441,Cherokee Creek,Cherokee Creek,39,2010,,Baseline,441,01-May,C6,7.2,4.9,3.1,26.4,Quality Mimulus Plate 5 Angert 2020 DM,C6,30,6,25,Angert Mimulus – 5,C6,25,26.4,
444,Cherokee Creek,Cherokee Creek,39,2010,,Baseline,444,01-May,D6,60.6,1.9,2.1,12,Quality Mimulus Plate 5 Angert 2020 DM,D6,30,13,25,Angert Mimulus – 5,D6,25,12,
446,Cherokee Creek,Cherokee Creek,39,2010,,Baseline,446,01-May,E6,379.9,1.9,2.2,19,Quality Mimulus Plate 5 Angert 2020 DM,E6,30,8,25,Angert Mimulus – 5,E6,25,19,
451,Cherokee Creek,Cherokee Creek,39,2010,,Baseline,451,01-May,F6,103.4,1.9,2.1,51,Quality Mimulus Plate 5 Angert 2020 DM,F6,30,3,25,Angert Mimulus – 5,F6,25,51,
453,Cherokee Creek,Cherokee Creek,39,2010,,Baseline,453,01-May,G6,57.2,2.1,2.2,8.3,Quality Mimulus Plate 5 Angert 2020 DM,G6,30,19,25,Angert Mimulus – 5,G6,25,8.27,
454,Cherokee Creek,Cherokee Creek,39,2010,,Baseline,454,01-May,H6,149.8,2,2.1,32.6,Quality Mimulus Plate 5 Angert 2020 DM,H6,30,5,25,Angert Mimulus – 5,H6,25,32.6,
459,Coast Fork Willamette,Coast Fork Willamette,55,2009,,Baseline,459,01-May,B7,88.5,1.9,2.3,13.2,Quality Mimulus Plate 5 Angert 2020 DM,B7,95,12,40,Angert Mimulus – 5,B7,40,13.2,
460,Coast Fork Willamette,Coast Fork Willamette,55,2009,,Baseline,460,01-May,C7,168.3,1.9,2.3,18.6,Quality Mimulus Plate 5 Angert 2020 DM,C7,95,9,40,Angert Mimulus – 5,C7,40,18.6,
461,Coast Fork Willamette,Coast Fork Willamette,55,2009,,Baseline,461,R-2,E8,43,1.9,2.1,5.2,Quality Mimulus Plate 5 Angert 2020 DM,D7,45,29,40,Angert Mimulus – 5,D7,40,5.2,
462,Coast Fork Willamette,Coast Fork Willamette,55,2009,,Baseline,462,01-May,E7,55.5,1.9,2.3,9.6,Quality Mimulus Plate 5 Angert 2020 DM,E7,95,16,40,Angert Mimulus – 5,E7,40,9.63,
463,Coast Fork Willamette,Coast Fork Willamette,55,2009,,Baseline,463,01-May,F7,176.5,1.9,2.4,22.4,Quality Mimulus Plate 5 Angert 2020 DM,F7,95,7,40,Angert Mimulus – 5,F7,40,22.4,
464,Coast Fork Willamette,Coast Fork Willamette,55,2009,,Baseline,464,01-May,G7,32.2,1.8,2.2,3.1,Quality Mimulus Plate 5 Angert 2020 DM,G7,95,49,40,Angert Mimulus – 5,G7,40,3.09,
466,Coast Fork Willamette,Coast Fork Willamette,55,2009,,Baseline,466,01-May,H7,106.1,1.9,2.4,9.4,Quality Mimulus Plate 5 Angert 2020 DM,H7,95,17,40,Angert Mimulus – 5,H7,40,9.35,
467,Coast Fork Willamette,Coast Fork Willamette,55,2009,,Baseline,467,01-May,A8,70.3,1.9,2.3,21.7,Quality Mimulus Plate 5 Angert 2020 DM,A8,95,7,40,Angert Mimulus – 5,A8,40,21.7,
468,Coast Fork Willamette,Coast Fork Willamette,55,2009,,Baseline,468,01-May,B8,33.8,1.8,2.2,6.4,Quality Mimulus Plate 5 Angert 2020 DM,B8,95,24,40,Angert Mimulus – 5,B8,40,6.37,
469,Coast Fork Willamette,Coast Fork Willamette,55,2009,,Baseline,469,01-May,C8,48.5,1.8,2.4,5,Quality Mimulus Plate 5 Angert 2020 DM,C8,95,30,40,Angert Mimulus – 5,C8,40,5.01,
478,Cottonwood Creek,Cottonwood Creek,13,2010,,Baseline,478,01-May,D8,156.1,1.9,2.3,10.7,Quality Mimulus Plate 5 Angert 2020 DM,D8,95,15,40,Angert Mimulus – 5,D8,40,10.7,
933,Cottonwood Creek,Cottonwood Creek,13,2010,,Baseline,933,01-Aug,C11,403,1.8,2,103,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,C11,30,2,25,Angert Mimulus – 8,C11,25,103,
934,Cottonwood Creek,Cottonwood Creek,13,2010,,Baseline,934,01-Aug,D11,197.6,1.9,1.7,36.5,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,D11,30,5,25,Angert Mimulus – 8,D11,25,36.5,
936,Cottonwood Creek,Cottonwood Creek,13,2010,,Baseline,936,01-Aug,E11,318.7,1.8,1.9,84.9,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,E11,30,2,25,Angert Mimulus – 8,E11,25,84.9,
937,Cottonwood Creek,Cottonwood Creek,13,2010,,Baseline,937,01-Aug,F11,186.9,1.9,1.7,29.7,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,F11,30,6,25,Angert Mimulus – 8,F11,25,29.7,
