ID,Site,Old_Site,Paper_ID,Year,Population,Collection,ID,Extraction Plate,Position,Nanodrop ng/uL ,260/280,260/230,Qubit (ng/uL),Quality Sample Plate,Position,Volume,Volume for 150 ng,Volume Dispensed,Submission Plate,Position,Volume,Qubit (ng/uL),Notes
345,Deer Creek,Deer Creek,10,2011,S36,Both,345,R-5,B4,91.7,1.9,2.5,56.4,Quality Mimulus Plate 4 Angert 2020 DM,B7,30,3,25,Angert Mimulus – 4,B7,25,56.4,
346,Deer Creek,Deer Creek,10,2011,S36,Both,346,01-Apr,C7,160.4,2.1,2.4,22.9,Quality Mimulus Plate 4 Angert 2020 DM,C7,45,7,30,Angert Mimulus – 4,C7,30,22.9,
347,Deer Creek,Deer Creek,10,2011,S36,Both,347,R-5,D4,217.7,1.9,2.4,70.3,Quality Mimulus Plate 4 Angert 2020 DM,D7,30,3,25,Angert Mimulus – 4,D7,25,70.3,
348,Deer Creek,Deer Creek,10,2011,S36,Both,348,R-1,F2,46.5,1.9,2,9.9,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,G12,40,16,40,Angert Mimulus – 8,G12,40,9.88,
349,Deer Creek,Deer Creek,10,2011,S36,Both,349,01-Apr,E7,71.1,2.1,2.3,7.4,Quality Mimulus Plate 4 Angert 2020 DM,E7,45,21,30,Angert Mimulus – 4,E7,30,7.39,
350,Deer Creek,Deer Creek,10,2012,S36,Timeseries,350,01-Apr,F7,63,2.1,2.3,7.9,Quality Mimulus Plate 4 Angert 2020 DM,F7,40,20,30,Angert Mimulus – 4,F7,30,7.89,
351,Deer Creek,Deer Creek,10,2012,S36,Timeseries,351,01-Apr,G7,908,2.2,2.4,91.8,Quality Mimulus Plate 4 Angert 2020 DM,G7,45,2,30,Angert Mimulus – 4,G7,30,91.8,
352,Deer Creek,Deer Creek,10,2012,S36,Timeseries,352,01-Apr,H7,110.1,2.1,2.5,20.3,Quality Mimulus Plate 4 Angert 2020 DM,H7,45,8,30,Angert Mimulus – 4,H7,30,20.3,
353,Deer Creek,Deer Creek,10,2012,S36,Timeseries,353,01-Apr,A8,154,2.1,2.3,32.2,Quality Mimulus Plate 4 Angert 2020 DM,A8,45,5,30,Angert Mimulus – 4,A8,30,32.2,
354,Deer Creek,Deer Creek,10,2012,S36,Timeseries,354,01-Apr,B8,152.1,2.1,2.4,39.9,Quality Mimulus Plate 4 Angert 2020 DM,B8,45,4,30,Angert Mimulus – 4,B8,30,39.9,
355,Deer Creek,Deer Creek,10,2012,S36,Timeseries,355,01-Apr,C8,409.4,2.1,2.4,51.6,Quality Mimulus Plate 4 Angert 2020 DM,C8,45,3,30,Angert Mimulus – 4,C8,30,51.6,
356,Deer Creek,Deer Creek,10,2012,S36,Timeseries,356,01-Apr,D8,191.4,2.1,2.4,43.1,Quality Mimulus Plate 4 Angert 2020 DM,D8,45,4,30,Angert Mimulus – 4,D8,30,43.1,
357,Deer Creek,Deer Creek,10,2012,S36,Timeseries,357,01-Apr,E8,144.9,2,2.4,36.2,Quality Mimulus Plate 4 Angert 2020 DM,E8,45,5,30,Angert Mimulus – 4,E8,30,36.2,
358,Deer Creek,Deer Creek,10,2012,S36,Timeseries,358,01-Apr,F8,76.8,2.1,2.4,11.5,Quality Mimulus Plate 4 Angert 2020 DM,F8,45,14,30,Angert Mimulus – 4,F8,30,11.5,
359,Deer Creek,Deer Creek,10,2012,S36,Timeseries,359,01-Apr,G8,111.3,2,2.4,39.8,Quality Mimulus Plate 4 Angert 2020 DM,G8,45,4,30,Angert Mimulus – 4,G8,30,39.8,
360,Deer Creek,Deer Creek,10,2014,S36,Timeseries,360,01-Apr,H8,260.5,2.1,2.4,44.7,Quality Mimulus Plate 4 Angert 2020 DM,H8,45,4,30,Angert Mimulus – 4,H8,30,44.7,
361,Deer Creek,Deer Creek,10,2014,S36,Timeseries,361,01-Apr,A9,705.5,2.2,2.4,63.7,Quality Mimulus Plate 4 Angert 2020 DM,A9,30,3,25,Angert Mimulus – 4,A9,25,63.7,
362,Deer Creek,Deer Creek,10,2014,S36,Timeseries,362,01-Apr,B9,83.5,2.1,2.3,20.6,Quality Mimulus Plate 4 Angert 2020 DM,B9,30,8,25,Angert Mimulus – 4,B9,25,20.6,
363,Deer Creek,Deer Creek,10,2014,S36,Timeseries,363,01-Apr,C9,85.5,2.1,2.4,15.9,Quality Mimulus Plate 4 Angert 2020 DM,C9,30,10,25,Angert Mimulus – 4,C9,25,15.9,
364,Deer Creek,Deer Creek,10,2014,S36,Timeseries,364,01-Apr,D9,1010.7,2.1,2.4,99.1,Quality Mimulus Plate 4 Angert 2020 DM,D9,30,2,25,Angert Mimulus – 4,D9,25,99.1,
365,Deer Creek,Deer Creek,10,2014,S36,Timeseries,365,01-Apr,E9,464.2,2,2.4,77.6,Quality Mimulus Plate 4 Angert 2020 DM,E9,30,2,25,Angert Mimulus – 4,E9,25,77.6,
366,Deer Creek,Deer Creek,10,2014,S36,Timeseries,366,R-2,A8,507.3,1.9,2.3,45.7,Quality Mimulus Plate 4 Angert 2020 DM,F9,30,4,25,Angert Mimulus – 4,F9,25,45.7,
367,Deer Creek,Deer Creek,10,2014,S36,Timeseries,367,R-2,B8,351.4,1.9,2.3,41.4,Quality Mimulus Plate 4 Angert 2020 DM,G9,30,4,25,Angert Mimulus – 4,G9,25,41.4,
368,Deer Creek,Deer Creek,10,2015,S36,Timeseries,368,01-Apr,H9,162.9,2.1,2.4,27.4,Quality Mimulus Plate 4 Angert 2020 DM,H9,30,6,25,Angert Mimulus – 4,H9,25,27.4,
369,Deer Creek,Deer Creek,10,2015,S36,Timeseries,369,01-Apr,A10,232.7,2.1,2.5,44.2,Quality Mimulus Plate 4 Angert 2020 DM,A10,30,4,30,Angert Mimulus – 4,A10,30,44.2,
370,Deer Creek,Deer Creek,10,2015,S36,Timeseries,370,01-Apr,B10,208.7,2.1,2.4,4.4,Quality Mimulus Plate 4 Angert 2020 DM,B10,35,35,35,Angert Mimulus – 4,B10,35,4.35,
371,Deer Creek,Deer Creek,10,2015,S36,Timeseries,371,01-Apr,C10,111.3,2.1,2.4,8.6,Quality Mimulus Plate 4 Angert 2020 DM,C10,10,18,30,Angert Mimulus – 4,C10,30,8.61,
372,Deer Creek,Deer Creek,10,2015,S36,Timeseries,372,01-Apr,D10,1234.9,2.1,2.4,119,Quality Mimulus Plate 4 Angert 2020 DM,D10,30,2,30,Angert Mimulus – 4,D10,30,119,
373,Deer Creek,Deer Creek,10,2015,S36,Timeseries,373,01-Apr,E10,110.3,2.1,2.4,12.9,Quality Mimulus Plate 4 Angert 2020 DM,E10,30,12,30,Angert Mimulus – 4,E10,30,12.9,
374,Deer Creek,Deer Creek,10,2015,S36,Timeseries,374,01-Apr,F10,133.7,2.1,2.4,30.9,Quality Mimulus Plate 4 Angert 2020 DM,F10,30,5,30,Angert Mimulus – 4,F10,30,30.9,
375,Deer Creek,Deer Creek,10,2015,S36,Timeseries,375,01-Apr,G10,893.1,2.1,2.4,66.3,Quality Mimulus Plate 4 Angert 2020 DM,G10,30,3,30,Angert Mimulus – 4,G10,30,66.3,
376,Deer Creek,Deer Creek,10,2015,S36,Timeseries,376,01-Apr,H10,64.5,2.2,1.9,5.2,Quality Mimulus Plate 4 Angert 2020 DM,H10,30,29,35,Angert Mimulus – 4,H10,35,5.23,
377,Deer Creek,Deer Creek,10,2016,S36,Timeseries,377,01-Apr,A11,107.2,2.1,2.4,19,Quality Mimulus Plate 4 Angert 2020 DM,A11,30,8,30,Angert Mimulus – 4,A11,30,19,
378,Deer Creek,Deer Creek,10,2016,S36,Timeseries,378,01-Apr,B11,279.4,2.1,2.1,29.8,Quality Mimulus Plate 4 Angert 2020 DM,B11,30,6,30,Angert Mimulus – 4,B11,30,29.8,
379,Deer Creek,Deer Creek,10,2016,S36,Timeseries,379,01-Apr,C11,192,2.1,2.5,27.2,Quality Mimulus Plate 4 Angert 2020 DM,C11,30,6,30,Angert Mimulus – 4,C11,30,27.2,
380,Deer Creek,Deer Creek,10,2016,S36,Timeseries,380,01-Apr,D11,132.7,2.1,2.5,21.3,Quality Mimulus Plate 4 Angert 2020 DM,D11,30,8,30,Angert Mimulus – 4,D11,30,21.3,
381,Deer Creek,Deer Creek,10,2016,S36,Timeseries,381,01-Apr,E11,402,2.1,2.4,55.2,Quality Mimulus Plate 4 Angert 2020 DM,E11,30,3,30,Angert Mimulus – 4,E11,30,55.2,
382,Deer Creek,Deer Creek,10,2016,S36,Timeseries,382,01-Apr,F11,1534.5,2.1,2.4,147,Quality Mimulus Plate 4 Angert 2020 DM,F11,30,2,30,Angert Mimulus – 4,F11,30,147,
383,Deer Creek,Deer Creek,10,2016,S36,Timeseries,383,01-Apr,G11,623.3,2.1,2.3,72.5,Quality Mimulus Plate 4 Angert 2020 DM,G11,30,3,30,Angert Mimulus – 4,G11,30,72.5,
384,Deer Creek,Deer Creek,10,2016,S36,Timeseries,384,01-Apr,H11,278.8,2.1,2.4,32.3,Quality Mimulus Plate 4 Angert 2020 DM,H11,30,5,30,Angert Mimulus – 4,H11,30,32.3,
385,Deer Creek,Deer Creek,10,2016,S36,Timeseries,385,01-Apr,A12,80,2.1,2.3,6,Quality Mimulus Plate 4 Angert 2020 DM,A12,30,25,30,Angert Mimulus – 4,A12,30,6.02,
498,Deer Flat Creek,Deer Flat Creek,30,2010,,Baseline,498,01-May,D10,23.3,1.6,2.2,15.6,Quality Mimulus Plate 5 Angert 2020 DM,D10,95,10,40,Angert Mimulus – 5,D10,40,15.6,
500,Deer Flat Creek,Deer Flat Creek,30,2010,,Baseline,500,01-May,E10,350.1,1.9,2.4,58,Quality Mimulus Plate 5 Angert 2020 DM,E10,95,3,40,Angert Mimulus – 5,E10,40,58,
501,Duncan Creek,Duncan Creek,37,2009,,Baseline,501,01-May,F10,27.4,1.9,2.1,6.9,Quality Mimulus Plate 5 Angert 2020 DM,F10,95,22,40,Angert Mimulus – 5,F10,40,6.92,
502,Duncan Creek,Duncan Creek,37,2009,,Baseline,502,01-May,G10,47.7,1.8,2.1,11.9,Quality Mimulus Plate 5 Angert 2020 DM,G10,95,13,40,Angert Mimulus – 5,G10,40,11.9,
503,Duncan Creek,Duncan Creek,37,2009,,Baseline,503,01-May,H10,21.6,2,2.4,8.2,Quality Mimulus Plate 5 Angert 2020 DM,H10,95,19,40,Angert Mimulus – 5,H10,40,8.22,
504,Duncan Creek,Duncan Creek,37,2009,,Baseline,504,01-May,A11,13.3,1.6,2.7,4.6,Quality Mimulus Plate 5 Angert 2020 DM,A11,95,33,40,Angert Mimulus – 5,A11,40,4.6,
505,Duncan Creek,Duncan Creek,37,2009,,Baseline,505,01-May,B11,182.3,1.9,2.4,34.5,Quality Mimulus Plate 5 Angert 2020 DM,B11,95,5,40,Angert Mimulus – 5,B11,40,34.5,
506,Duncan Creek,Duncan Creek,37,2009,,Baseline,506,01-May,C11,142,1.9,2.4,27.9,Quality Mimulus Plate 5 Angert 2020 DM,C11,95,6,40,Angert Mimulus – 5,C11,40,27.9,
507,Duncan Creek,Duncan Creek,37,2009,,Baseline,507,R-2,C9,1120.6,2,2.4,30.4,Quality Mimulus Plate 5 Angert 2020 DM,D11,45,5,40,Angert Mimulus – 5,D11,40,30.4,
508,Duncan Creek,Duncan Creek,37,2009,,Baseline,508,01-May,E11,30.3,2.1,2.2,10.7,Quality Mimulus Plate 5 Angert 2020 DM,E11,95,15,40,Angert Mimulus – 5,E11,40,10.7,
509,Duncan Creek,Duncan Creek,37,2009,,Baseline,509,01-May,F11,112.1,1.9,2.3,25.2,Quality Mimulus Plate 5 Angert 2020 DM,F11,95,6,40,Angert Mimulus – 5,F11,40,25.2,
510,Duncan Creek,Duncan Creek,37,2009,,Baseline,510,01-May,G11,59.2,1.9,2.3,13.7,Quality Mimulus Plate 5 Angert 2020 DM,G11,95,11,40,Angert Mimulus – 5,G11,40,13.7,
516,Fiddle Creek,Fiddle Creek,38,2010,,Baseline,516,01-May,E12,22.9,1.8,2.2,8.1,Quality Mimulus Plate 5 Angert 2020 DM,E12,95,19,40,Angert Mimulus – 5,E12,40,8.13,
517,Fiddle Creek,Fiddle Creek,38,2010,,Baseline,517,R-2,D9,327.2,1.9,2.2,11,Quality Mimulus Plate 5 Angert 2020 DM,F12,45,14,40,Angert Mimulus – 5,F12,40,11,
519,Fivemile Creek,Fivemile Creek,31,2010,,Baseline,519,01-May,G12,59.2,1.9,2.3,24.9,Quality Mimulus Plate 5 Angert 2020 DM,G12,95,7,40,Angert Mimulus – 5,G12,40,24.9,
520,Hauser Creek,Hauser Creek,14,2010,,Baseline,520,01-May,H12,30.8,1.9,2.2,6.6,Quality Mimulus Plate 5 Angert 2020 DM,H12,95,23,40,Angert Mimulus – 5,H12,40,6.6,
521,Hauser Creek,Hauser Creek,14,2010,,Baseline,521,01-Jun,A1,107.8,1.9,2.2,22.5,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,A1,45,7,40,Angert Mimulus – 6,A1,40,22.5,
522,Hauser Creek,Hauser Creek,14,2010,,Baseline,522,01-Jun,B1,44.1,1.9,2.2,33,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,B1,45,5,40,Angert Mimulus – 6,B1,40,33,
523,Hauser Creek,Hauser Creek,14,2010,,Baseline,523,01-Jun,C1,66.2,2,2.1,11.2,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,C1,45,14,40,Angert Mimulus – 6,C1,40,11.2,
524,Hauser Creek,Hauser Creek,14,2010,,Baseline,524,01-Jun,D1,68.6,1.8,1.9,28.1,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,D1,45,6,40,Angert Mimulus – 6,D1,40,28.1,
525,Hauser Creek,Hauser Creek,14,2010,,Baseline,525,01-Jun,E1,271.6,1.9,2.3,69.7,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,E1,45,3,40,Angert Mimulus – 6,E1,40,69.7,
527,Hauser Creek,Hauser Creek,14,2010,,Baseline,527,01-Jun,F1,92.2,1.9,2.1,43.6,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,F1,45,4,40,Angert Mimulus – 6,F1,40,43.6,
528,Hauser Creek,Hauser Creek,14,2010,,Baseline,528,01-Jun,G1,11.3,1.9,1.8,4.4,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,G1,45,35,40,Angert Mimulus – 6,G1,40,4.39,
529,Hauser Creek,Hauser Creek,14,2010,,Baseline,529,01-Jun,H1,111.1,2.1,2.4,12.6,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,H1,45,12,40,Angert Mimulus – 6,H1,40,12.6,
530,Hauser Creek,Hauser Creek,14,2010,,Baseline,530,01-May,A7,72.1,1.9,2.1,25.3,Quality Mimulus Plate 5 Angert 2020 DM,A7,95,6,40,Angert Mimulus – 5,A7,40,25.3,
542,Honey Creek,Honey Creek,52,2007,,Baseline,542,01-May,A12,25.5,1.9,2.3,7.6,Quality Mimulus Plate 5 Angert 2020 DM,A12,95,20,40,Angert Mimulus – 5,A12,40,7.64,
543,Honey Creek,Honey Creek,52,2007,,Baseline,543,01-May,B12,68.8,1.9,2.3,12.8,Quality Mimulus Plate 5 Angert 2020 DM,B12,95,12,40,Angert Mimulus – 5,B12,40,12.8,
544,Kitchen Creek,Kitchen Creek,15,2010,,Baseline,544,01-May,C12,180.8,1.9,2.3,23.1,Quality Mimulus Plate 5 Angert 2020 DM,C12,95,7,40,Angert Mimulus – 5,C12,40,23.1,
545,Kitchen Creek,Kitchen Creek,15,2010,,Baseline,545,R-2,E9,286.1,1.9,2.2,22.2,Quality Mimulus Plate 5 Angert 2020 DM,D12,45,7,40,Angert Mimulus – 5,D12,40,22.2,
546,Kitchen Creek,Kitchen Creek,15,2010,,Baseline,546,01-Jun,A2,106,1.9,2.1,32.4,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,A2,45,5,40,Angert Mimulus – 6,A2,40,32.4,
547,Kitchen Creek,Kitchen Creek,15,2010,,Baseline,547,01-Jun,B2,49.4,1.8,1.8,21.2,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,B2,45,8,40,Angert Mimulus – 6,B2,40,21.2,
548,Kitchen Creek,Kitchen Creek,15,2010,,Baseline,548,R-2,F9,211,1.9,2.1,7.2,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,C2,45,21,40,Angert Mimulus – 6,C2,40,7.18,
549,Kitchen Creek,Kitchen Creek,15,2010,,Baseline,549,01-Jun,D2,41.7,1.8,1.8,9.8,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,D2,45,16,40,Angert Mimulus – 6,D2,40,9.81,
550,Kitchen Creek,Kitchen Creek,15,2010,,Baseline,550,01-Jun,E2,65.8,1.9,2,16.6,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,E2,45,10,40,Angert Mimulus – 6,E2,40,16.6,
551,Kitchen Creek,Kitchen Creek,15,2010,,Baseline,551,01-Jun,F2,235.8,1.9,2.3,69.3,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,F2,45,3,40,Angert Mimulus – 6,F2,40,69.3,
552,Kitchen Creek,Kitchen Creek,15,2010,,Baseline,552,01-Jun,G2,557.8,1.8,2.3,127,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,G2,45,2,40,Angert Mimulus – 6,G2,40,127,
553,Kitchen Creek,Kitchen Creek,15,2010,,Baseline,553,01-Jun,H2,92.5,1.9,2.3,9.8,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,H2,45,16,40,Angert Mimulus – 6,H2,40,9.84,
240,Little Jameson,Little Jameson,7,2010,S18,Both,240,01-Jul,E6,72.9,1.9,2.1,10.7,Quality Mimulus Plate 7 Angert 2020 DM,E6,100,15,50,Angert Mimulus – 7,E6,50,10.7,
241,Little Jameson,Little Jameson,7,2010,S18,Both,241,01-Jul,F6,297.9,1.9,2.4,45.9,Quality Mimulus Plate 7 Angert 2020 DM,F6,100,4,50,Angert Mimulus – 7,F6,50,45.9,
242,Little Jameson,Little Jameson,7,2010,S18,Both,242,01-Jul,G6,329.9,1.9,2.4,24.6,Quality Mimulus Plate 7 Angert 2020 DM,G6,100,7,50,Angert Mimulus – 7,G6,50,24.6,
243,Little Jameson,Little Jameson,7,2010,S18,Both,243,01-Jul,H6,163.4,1.9,2.3,27.2,Quality Mimulus Plate 7 Angert 2020 DM,H6,100,6,50,Angert Mimulus – 7,H6,50,27.2,
244,Little Jameson,Little Jameson,7,2010,S18,Both,244,01-Jul,A7,33.4,1.8,1.4,3.4,Quality Mimulus Plate 7 Angert 2020 DM,A7,100,45,40,Angert Mimulus – 7,A7,40,3.39,
245,Little Jameson,Little Jameson,7,2010,S18,Both,245,01-Jul,B7,68.2,1.9,1.8,11.1,Quality Mimulus Plate 7 Angert 2020 DM,B7,100,14,40,Angert Mimulus – 7,B7,40,11.1,
246,Little Jameson,Little Jameson,7,2010,S18,Both,246,R-4,F11,785.5,2,2.1,60.2,Quality Mimulus Plate 7 Angert 2020 DM,C7,45,3,40,Angert Mimulus – 7,C7,40,60.2,
247,Little Jameson,Little Jameson,7,2010,S18,Both,247,01-Jul,D7,23.9,1.8,1.3,3.4,Quality Mimulus Plate 7 Angert 2020 DM,D7,100,45,35,Angert Mimulus – 7,D7,35,3.36,insufficent
248,Little Jameson,Little Jameson,7,2012,S18,Timeseries,248,R-4,G11,677.9,2,2.1,70.4,Quality Mimulus Plate 7 Angert 2020 DM,E7,45,3,40,Angert Mimulus – 7,E7,40,70.4,
249,Little Jameson,Little Jameson,7,2012,S18,Timeseries,249,R-4,H11,215,1.9,2.1,33.7,Quality Mimulus Plate 7 Angert 2020 DM,F7,45,5,40,Angert Mimulus – 7,F7,40,33.7,
250,Little Jameson,Little Jameson,7,2012,S18,Timeseries,250,R-4,A12,217.2,1.9,2.1,35.8,Quality Mimulus Plate 7 Angert 2020 DM,G7,45,5,40,Angert Mimulus – 7,G7,40,35.8,
251,Little Jameson,Little Jameson,7,2012,S18,Timeseries,251,R-2,F3,413.3,1.9,2.3,66,Quality Mimulus Plate 7 Angert 2020 DM,H7,45,3,40,Angert Mimulus – 7,H7,40,66,
252,Little Jameson,Little Jameson,7,2012,S18,Timeseries,252,R-2,G3,793.9,2,2.4,43.7,Quality Mimulus Plate 7 Angert 2020 DM,A8,45,4,40,Angert Mimulus – 7,A8,40,43.7,
253,Little Jameson,Little Jameson,7,2012,S18,Timeseries,253,R-2,H3,295.9,1.9,2.3,41.7,Quality Mimulus Plate 7 Angert 2020 DM,B8,45,4,40,Angert Mimulus – 7,B8,40,41.7,
254,Little Jameson,Little Jameson,7,2012,S18,Timeseries,254,R-5,B7,140.7,1.9,2.1,24.9,Quality Mimulus Plate 7 Angert 2020 DM,C8,50,7,40,Angert Mimulus – 7,C8,40,24.9,
255,Little Jameson,Little Jameson,7,2012,S18,Timeseries,255,R-2,B4,541.4,1.9,2.3,62.8,Quality Mimulus Plate 7 Angert 2020 DM,D8,45,3,40,Angert Mimulus – 7,D8,40,62.8,
256,Little Jameson,Little Jameson,7,2013,S18,Timeseries,256,R-2,C4,179.1,1.9,2.2,22.6,Quality Mimulus Plate 7 Angert 2020 DM,E8,45,7,40,Angert Mimulus – 7,E8,40,22.6,
257,Little Jameson,Little Jameson,7,2013,S18,Timeseries,257,01-Jul,F8,151.9,1.9,2.2,24.2,Quality Mimulus Plate 7 Angert 2020 DM,F8,100,7,40,Angert Mimulus – 7,F8,40,24.2,
258,Little Jameson,Little Jameson,7,2013,S18,Timeseries,258,R-2,D4,398.5,1.9,2.3,40,Quality Mimulus Plate 7 Angert 2020 DM,G8,45,4,40,Angert Mimulus – 7,G8,40,40,
259,Little Jameson,Little Jameson,7,2013,S18,Timeseries,259,R-2,E4,168.8,1.9,2.2,38.1,Quality Mimulus Plate 7 Angert 2020 DM,H8,45,4,40,Angert Mimulus – 7,H8,40,38.1,
260,Little Jameson,Little Jameson,7,2013,S18,Timeseries,260,R-2,F4,94.1,1.9,2.2,32.9,Quality Mimulus Plate 7 Angert 2020 DM,A9,45,5,40,Angert Mimulus – 7,A9,40,32.9,
261,Little Jameson,Little Jameson,7,2013,S18,Timeseries,261,R-2,G4,238.3,1.9,2.3,37.8,Quality Mimulus Plate 7 Angert 2020 DM,B9,45,4,35,Angert Mimulus – 7,B9,35,37.8,
262,Little Jameson,Little Jameson,7,2013,S18,Timeseries,262,R-2,H4,390.5,1.9,2.3,44.1,Quality Mimulus Plate 7 Angert 2020 DM,C9,45,4,40,Angert Mimulus – 7,C9,40,44.1,
263,Little Jameson,Little Jameson,7,2013,S18,Timeseries,263,R-2,A5,451.8,1.9,2.3,29.4,Quality Mimulus Plate 7 Angert 2020 DM,D9,45,6,40,Angert Mimulus – 7,D9,40,29.4,
264,Little Jameson,Little Jameson,7,2013,S18,Timeseries,264,R-2,B5,316.6,1.9,2.3,30.7,Quality Mimulus Plate 7 Angert 2020 DM,E9,45,5,40,Angert Mimulus – 7,E9,40,30.7,
265,Little Jameson,Little Jameson,7,2013,S18,Timeseries,265,R-2,C5,152.5,1.9,2.2,28.5,Quality Mimulus Plate 7 Angert 2020 DM,F9,45,6,40,Angert Mimulus – 7,F9,40,28.5,
266,Little Jameson,Little Jameson,7,2014,S18,Timeseries,266,R-2,D5,886.2,1.9,2.3,56,Quality Mimulus Plate 7 Angert 2020 DM,G9,45,3,40,Angert Mimulus – 7,G9,40,56,
267,Little Jameson,Little Jameson,7,2014,S18,Timeseries,267,R-2,E5,346.2,1.9,2.4,40.1,Quality Mimulus Plate 7 Angert 2020 DM,H9,45,4,40,Angert Mimulus – 7,H9,40,40.1,
268,Little Jameson,Little Jameson,7,2014,S18,Timeseries,268,01-Jul,A10,88,1.9,2.1,13.1,Quality Mimulus Plate 7 Angert 2020 DM,A10,100,12,40,Angert Mimulus – 7,A10,40,13.1,
269,Little Jameson,Little Jameson,7,2014,S18,Timeseries,269,R-2,F5,283.2,1.9,2.3,36.3,Quality Mimulus Plate 7 Angert 2020 DM,B10,45,5,40,Angert Mimulus – 7,B10,40,36.3,
270,Little Jameson,Little Jameson,7,2014,S18,Timeseries,270,R-4,C12,318.1,1.9,2.2,88.7,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,D12,40,2,40,Angert Mimulus – 8,D12,40,88.7,
271,Little Jameson,Little Jameson,7,2014,S18,Timeseries,271,01-Jul,C10,169.5,1.9,2.4,15.7,Quality Mimulus Plate 7 Angert 2020 DM,C10,100,10,40,Angert Mimulus – 7,C10,40,15.7,
272,Little Jameson,Little Jameson,7,2014,S18,Timeseries,272,R-2,G5,287.2,1.9,2.3,25.9,Quality Mimulus Plate 7 Angert 2020 DM,D10,45,6,40,Angert Mimulus – 7,D10,40,25.9,
273,Little Jameson,Little Jameson,7,2014,S18,Timeseries,273,01-Jul,E10,35.7,1.9,2.1,6.9,Quality Mimulus Plate 7 Angert 2020 DM,E10,45,22,40,Angert Mimulus – 7,E10,40,6.87,
386,Little Jameson,Little Jameson,7,2014,S18,Timeseries,386,01-Apr,B12,726,2.2,2.3,77.2,Quality Mimulus Plate 4 Angert 2020 DM,B12,30,2,30,Angert Mimulus – 4,B12,30,77.2,
274,Little Jameson,Little Jameson,7,2016,S18,Timeseries,274,R-2,H5,181.1,1.9,2.2,39.7,Quality Mimulus Plate 7 Angert 2020 DM,F10,45,4,40,Angert Mimulus – 7,F10,40,39.7,
275,Little Jameson,Little Jameson,7,2016,S18,Timeseries,275,R-2,A6,342.8,1.9,2.3,30.9,Quality Mimulus Plate 7 Angert 2020 DM,G10,45,5,35,Angert Mimulus – 7,G10,35,30.9,
276,Little Jameson,Little Jameson,7,2016,S18,Timeseries,276,R-2,B6,286.3,1.9,2.3,35.3,Quality Mimulus Plate 7 Angert 2020 DM,H10,45,5,40,Angert Mimulus – 7,H10,40,35.3,
277,Little Jameson,Little Jameson,7,2016,S18,Timeseries,277,01-Jul,A11,198.2,1.9,2.3,12.9,Quality Mimulus Plate 7 Angert 2020 DM,A11,100,12,40,Angert Mimulus – 7,A11,40,12.9,
278,Little Jameson,Little Jameson,7,2016,S18,Timeseries,278,01-Jul,B11,25.2,2,2.1,5.6,Quality Mimulus Plate 7 Angert 2020 DM,B11,100,27,40,Angert Mimulus – 7,B11,40,5.61,
279,Little Jameson,Little Jameson,7,2016,S18,Timeseries,279,01-Jul,C11,140.9,1.9,2.2,6,Quality Mimulus Plate 7 Angert 2020 DM,C11,100,25,40,Angert Mimulus – 7,C11,40,6.01,
280,Little Jameson,Little Jameson,7,2016,S18,Timeseries,280,R-2,C6,87.2,1.9,2.3,9.6,Quality Mimulus Plate 7 Angert 2020 DM,D11,45,16,40,Angert Mimulus – 7,D11,40,9.58,
281,Little Jameson,Little Jameson,7,2016,S18,Timeseries,281,01-Jul,E11,45.5,1.8,2.2,4.1,Quality Mimulus Plate 7 Angert 2020 DM,E11,100,37,40,Angert Mimulus – 7,E11,40,4.11,
282,Little Jameson,Little Jameson,7,2016,S18,Timeseries,282,R-2,D6,48.1,1.9,2,15.1,Quality Mimulus Plate 7 Angert 2020 DM,F11,45,10,40,Angert Mimulus – 7,F11,40,15.1,
575,Little North Fork Middle Fork Feather,Little North Fork Middle Fork Feather,40,2010,,Baseline,575,01-Jun,D3,37.8,1.9,2.1,11.8,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,D3,45,13,40,Angert Mimulus – 6,D3,40,11.8,
576,Little North Fork Middle Fork Feather,Little North Fork Middle Fork Feather,40,2010,,Baseline,576,01-Jun,F3,20.9,1.9,1.9,5.4,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,F3,45,28,40,Angert Mimulus – 6,F3,40,5.44,
