Year,﻿ID,ID2,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
13GCMs_ensemble_ssp585_2041-2070.gcm,S02,Sweetwater River,32.89928,-116.5849,1168,16.7,21.4,33.1,27,3.2,5.8,14.9,10.6,9.9,13.6,24,18.8,295,171,27,119,14.1,23.6,26.2,18.4,15,4,0,1,461,793,1749,1249,724,452,17,183,4,37,570,241,69,83,92,89,1,0,0,0,172,377,598,333,0,229,572,215,58,53,50,53,7.86,-13.77,-59.13,-32.08
13GCMs_ensemble_ssp585_2041-2070.gcm,S07,West Fork Mojave River,34.28425,-117.37539,1092,16.6,22.5,33.8,26.4,3.9,6.9,16.7,12.4,10.3,14.7,25.2,19.4,305,136,24,108,10.8,22.5,26.1,15.7,13,3,0,1,483,887,1860,1305,696,378,11,163,5,62,675,278,74,86,92,90,1,0,0,0,161,385,590,302,0,249,566,194,60,53,53,59,9.46,-19.3,-59.22,-28.87
13GCMs_ensemble_ssp585_2041-2070.gcm,S08,Redwood Creek,36.69096,-118.90961,1682,11.6,16.3,29.4,21.9,-2,1.8,13,6.8,4.8,9.1,21.2,14.4,489,229,22,183,11.6,24.5,28.9,18.8,59,17,0,4,142,437,1491,868,1185,836,48,422,0,6,341,85,28,57,92,79,20,7,0,2,122,298,514,257,0,131,491,133,55,54,54,55,37.82,1.84,-49.04,-15.15
13GCMs_ensemble_ssp585_2041-2070.gcm,S10,North Fork Middle Fork Tule,36.20081,-118.65092,1288,13.1,19.4,32.8,24.5,1.1,4.6,15.5,9.6,7.1,12,24.2,17.1,446,223,23,159,10.2,23.7,27.7,16.7,32,8,0,2,263,661,1762,1098,980,591,15,272,0,27,578,184,53,75,92,87,7,1,0,1,129,337,571,281,0,165,548,168,61,55,52,56,30.84,-4.62,-57.94,-22.1
13GCMs_ensemble_ssp585_2041-2070.gcm,S11,Mill Creek,34.07808,-116.87558,1990,10.8,16.2,27.4,20.7,-3.9,-0.5,10.8,4.9,3.5,7.9,19.1,12.8,397,196,40,175,16.1,25.6,28.5,21.3,83,25,0,6,98,355,1297,738,1305,940,103,525,0,1,206,48,17,41,91,72,28,12,0,2,132,316,500,266,0,168,459,125,51,48,52,52,30.02,-2.41,-43.79,-14.56
13GCMs_ensemble_ssp585_2041-2070.gcm,S15,Rock Creek,43.37876,-122.95207,1168,10.6,15.5,28.1,19.7,2.7,4.8,12.9,8.6,6.7,10.2,20.5,14.1,1119,581,109,690,5.2,15.8,23.8,10.1,36,10,0,4,223,495,1426,843,1017,735,60,440,0,5,288,81,66,79,92,87,20,6,0,7,75,242,457,187,0,11,349,30,73,66,56,66,102.21,39.99,-33.2,43.24
13GCMs_ensemble_ssp585_2041-2070.gcm,S16,O'Neil Creek,41.80979,-123.11887,1092,10.9,18.2,31.9,22.1,1.6,4.2,14.5,9.1,6.3,11.2,23.2,15.6,485,200,34,237,6.8,18.3,24.6,12.2,40,8,0,3,207,586,1677,973,1056,650,24,367,0,14,509,143,57,75,92,86,11,1,0,2,86,296,534,220,0,154,499,105,69,57,52,61,38.54,-4.08,-53.21,-7.53
13GCMs_ensemble_ssp585_2041-2070.gcm,S17,Deep Creek,41.66546,-123.11341,680,11.5,20.7,35.1,24.4,1.1,4.2,15,9.1,6.3,12.4,25,16.7,131,50,28,80,7.8,18.9,25,13.6,41,6,0,3,214,691,1841,1074,1053,553,12,318,0,31,656,195,53,75,92,86,3,0,0,1,93,336,599,248,13,286,572,184,66,51,46,55,2.6,-23.79,-64.56,-28.92
13GCMs_ensemble_ssp585_2041-2070.gcm,S18,Little Jameson Creek,39.74298,-120.70401,1593,9.6,16.7,30.1,21.4,-1.9,1,11.6,5.9,3.8,8.8,20.9,13.6,690,316,54,300,8.6,20.5,26.9,15.3,76,19,0,6,104,415,1461,808,1272,860,56,481,0,4,317,75,28,51,92,77,42,11,0,5,95,296,528,237,0,106,474,93,61,51,49,54,60.72,9.53,-50.04,-2.63
13GCMs_ensemble_ssp585_2041-2070.gcm,S29,Oregon Creek,39.39442,-121.08302,440,16.6,23.6,37.1,28.7,4,7.5,17,11.4,10.3,15.5,27,20,716,331,23,310,6.8,19.9,26.7,13.9,14,2,0,1,479,956,2024,1360,702,327,4,161,5,86,837,334,74,88,92,89,3,0,0,0,131,375,641,301,0,166,617,150,60,53,47,51,52.11,0.11,-70.5,-15.17
13GCMs_ensemble_ssp585_2041-2070.gcm,S32,Wawona,37.539,-119.654,1214,14.8,20.1,32.9,25.6,1,4,14.7,8.4,7.9,12,23.8,17,549,256,18,173,10.6,23.3,28.1,18.3,26,7,0,1,310,659,1728,1087,908,584,17,272,0,23,549,172,52,72,92,85,6,1,0,1,135,344,574,289,0,164,555,179,56,52,50,51,37.93,-3.06,-59.3,-24.33
13GCMs_ensemble_ssp585_2041-2070.gcm,S36,Deer Creek,42.27411,-123.63617,393,12.1,20.9,34,23.8,2.1,4.6,12.3,7.4,7.1,12.8,23.2,15.6,795,336,32,402,6.2,17.3,23,11.7,33,5,0,3,253,712,1670,972,983,520,20,356,0,28,494,133,61,78,92,85,13,1,0,3,92,332,592,245,0,126,561,105,67,51,42,53,68.32,5.35,-60.41,4.55
