S,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,p4_low,p4_up,p5_low,p5_up,p6_low,p6_up,p7_low,p7_up,p8_low,p8_up,p9_low,p9_up,p10_low,p10_up,p11_low,p11_up,p12_low,p12_up,env
0.9,5,3,5,18,1,1,0,6,1,2,0,2,4,16,1,10,1,7,3,12,5,17,1,10,4,16,NA,NA,5,19,9,24,1,9,3,13,MAP
1.1,2,0,1,14,1,1,0,10,2,1,2,2,2,12,4,16,1,5,1,9,4,15,1,10,5,17,1,3,1,10,5,17,1,8,2,12,MAP
1.3,0,2,1,2,0,0,0,3,0,0,0,0,1,10,2,11,1,8,2,10,2,12,1,6,4,17,1,1,2,10,4,15,1,7,1,8,MAP
1.5,1,0,1,7,0,2,0,2,0,0,0,0,1,6,1,7,1,4,1,3,1,8,1,3,2,11,NA,NA,1,7,2,11,1,3,1,7,MAP
1.7,1,0,1,0,0,0,0,2,0,0,0,0,1,6,1,8,1,9,1,3,1,10,1,7,3,14,1,1.5,1,8,1,9,1,6,1,7,MAP
1.9,0,0,0,1,1,0,0,0,0,0,0,0,1,4,1,6,1,2,1,4,1,6,1,5,1,9,1,2,1,4,1,7,1,3,1,5,MAP
-1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,7,1,2,3,13,1,7,1,6,1,9,1,2,1,6,1,6,1,7,1,4,CMD
-1.7,0,0,1,1,0,0,0,0,0,0,0,0,2,12,1,9,2,12,1,5,2,11,2,12,1.9250000000000007,10,1,1.4499999999999957,2,12,1,6,3,13,1,6,CMD
-1.5,1,0,0,4,0,0,0,1,1,0,0,0,2,12,1,7,1,5,1,9,1,9,1,7,1,9,NA,NA,1,9.199999999999932,1,8,1,7,1,5,CMD
-1.3,0,1,0,3,0,1,0,1,0,0,0,0,5,17,2,11,1.8250000000000028,10,1,8,2,11,3,12,2,12,NA,NA,2,11,1,10,2,12,1,6.449999999999932,CMD
